friendId,person1,person2,dateMet
256,Thibaut,Alec,
257,Jarrid,Alyse,
258,Shane,Alyse,
259,Sande,Alyse,
260,Dolores,Alyse,
261,Angelico,Alyse,
262,Devin,Alyse,
263,Monro,Alyse,
264,Letisha,Alyse,
265,Normand,Amabelle,
266,Krystal,Amabelle,
267,Kalle,Amabelle,
268,Sky,Amabelle,
269,Gavra,Amabelle,
270,Genny,Amabelle,
271,Vere,Amabelle,
272,Werner,Amabelle,
273,Nanette,Amabelle,
274,Vivianna,Amabelle,
275,Benoite,Amalea,
276,Wade,Amalea,
277,Sal,Amalea,
278,Zorana,Amalea,
279,Lon,Amalea,
280,Joey,Amalea,
281,Della,Amalea,
282,Dare,Amalea,
283,Jacqueline,Amalea,
284,Margie,Amalea,
285,Muire,Amalea,
286,Ephraim,Amalea,
287,Lacy,Amalea,
288,Lionello,Amalea,
289,Bobby,Amalea,
290,Cate,Amalea,
291,Christine,Amalea,
292,Babbie,Amalea,
293,Steven,Amalea,
294,Brock,Amalea,
295,Allie,Amalea,
296,Sergent,Amandy,
297,Jeff,Amandy,
298,Jany,Amandy,
299,Drew,Amandy,
300,Steve,Alec,
301,Montgomery,Alec,
302,Barack,Alec,
303,Jackie,Alec,
304,Berty,Alec,
305,Michelle,Alec,
306,Jackquelin,Amii,
307,Clarance,Amii,
308,Ben,Amii,
309,Maible,Amii,
310,Nolana,Amii,
311,Jenny,Amii,
312,Sigismond,Amii,
313,Pall,Amii,
314,Davina,Amii,
315,Letti,Amii,
316,Burr,Anabel,
317,Kelli,Anabel,
318,Marianna,Anabel,
319,Allis,Anabel,
320,Maura,Anabel,
321,Cherice,Anabel,
322,Rik,Anabel,
323,Hans,Anabel,
324,Levy,Anabel,
325,Drusilla,Anabel,
326,Ramsey,Alec,
327,Martie,Alec,
328,Stacie,Alec,
329,Ennis,Alec,
330,Ezri,Alec,
331,Rasla,Alec,
332,Clemens,Alec,
333,Pascale,Alec,
334,Shea,Andrej,
335,Janey,Andrej,
336,Angele,Angele,
337,Clarey,Angele,
338,Tod,Angele,
339,Horten,Angele,
340,Missie,Angele,
341,Imelda,Angele,
342,Tandy,Angele,
343,Livy,Angele,
344,Jules,Angele,
345,Andrej,Angele,
346,Corrie,Angelico,
347,Katinka,Angelico,
348,Verena,Angelico,
349,Fleur,Angelico,
350,Gratiana,Angelico,
351,Cello,Angelico,
352,Akim,Angelico,
353,Leann,Angelico,
354,Jaquelin,Angelico,
355,Crin,Angelico,
356,Barton,Angus,
357,Nicko,Angus,
358,Lancelot,Angus,
359,Elysia,Angus,
360,Kailey,Angus,
361,Amii,Angus,
362,Zachery,Angus,
363,Farlay,Angus,
364,Lane,Angus,
365,Taylor,Angus,
366,Kippie,Annabel,
367,Arlyn,Annabel,
368,Tybi,Annabel,
369,Helaine,Annabel,
370,Nadeen,Annabel,
371,Cornela,Annabel,
372,Rosetta,Annabel,
373,Tim,Annabel,
374,Even,Annabel,
375,Jocelyn,Annabel,
376,Townie,Annadiane,
377,Wilek,Annadiane,
378,Chance,Annadiane,
379,Edi,Annadiane,
380,Cherry,Annadiane,
381,Bar,Annadiane,
382,Armando,Annadiane,
383,Arch,Annaliese,
384,Anne,Annaliese,
385,Elspeth,Annaliese,
386,Patten,Annaliese,
387,Pincas,Annaliese,
388,Leland,Annaliese,
389,Anabel,Annaliese,
390,Goraud,Annaliese,
391,Sharon,Annaliese,
392,Donal,Annaliese,
393,Kirstyn,Anne,
394,Kristen,Anne,
395,Taryn,Anne,
396,Garreth,Anne,
397,Bendix,Anne,
398,Marlyn,Anne,
399,Shanan,Anne,
400,Wynny,Anne,
401,Corly,Anne,
402,Ellis,Anne,
403,Pennie,Ann,
404,Ludvig,Ann,
405,Tann,Ann,
406,Melodee,Ann,
407,Alister,Ann,
408,Griff,Ann,
409,Timothea,Ann,
410,Warren,Ann,
411,Leopold,Ann,
412,Mac,Ann,
413,Barn,Ann,
414,Tracy,Ann,
415,Paddie,Ansel,
416,Daveen,Ansel,
417,Gustave,Ansel,
418,Sisely,Ansel,
419,Seymour,Ansel,
420,Charlean,Ansel,
421,Milton,Ansel,
422,Bathsheba,Ansel,
423,Elonore,Anthea,
424,Estele,Anthea,
425,Lizzy,Anthea,
426,Guinevere,Anthea,
427,Carlen,Anthea,
428,Vernice,Anthea,
429,Carin,Anthea,
430,Kirby,Anthea,
431,Ronna,Anthea,
432,Joycelin,Anthea,
433,Cicely,Antoni,
434,Georgetta,Antoni,
435,Dominick,Antoni,
436,Blake,Antoni,
437,Barney,Antoni,
438,Isabelita,Antoni,
439,Billy,Antoni,
440,Dael,Antoni,
441,Serena,Antoni,
442,Rafe,Antoni,
443,Byron,Antoni,
444,Bartolomeo,Antonietta,
445,Tammy,Antonietta,
446,Maye,Antonietta,
447,Waverly,Antonietta,
448,Yalonda,Antonietta,
449,Wright,Antonietta,
450,Lissy,Antonietta,
451,Brooks,Antonietta,
452,Curtis,Antonietta,
453,Sile,Antonietta,
454,Hewet,Araldo,
455,Nichols,Araldo,
456,Allister,Araldo,
457,Vikky,Araldo,
458,Manuel,Araldo,
459,Gypsy,Araldo,
460,Manon,Ann,
461,Traci,Ann,
462,Kippy,Ann,
463,Valle,Ann,
464,Joane,Ann,
465,Tedda,Ann,
466,Keefe,Ann,
467,Zebedee,Ann,
468,Fredelia,Ann,
469,Renee,Arch,
470,Tildie,Arch,
471,Roselle,Arch,
472,Ogden,Arch,
473,Fernande,Arch,
474,Bobinette,Archibald,
475,Sheila,Archibald,
476,Carly,Archibald,
477,Shadow,Archibald,
478,Clarabelle,Archibald,
479,Annaliese,Archibald,
480,Dierdre,Archibald,
481,Douglass,Archibald,
482,Cazzie,Archibald,
483,Dodi,Archibald,
484,Valaria,Arel,
485,Gill,Arel,
486,Walsh,Arel,
487,HSteve,Arel,
488,Valentijn,Arel,
489,Ebenezer,Arel,
490,Coleen,Arel,
491,Clive,Arel,
492,Hedi,Arel,
493,Kit,Arel,
494,Callean,Arlette,
495,Floyd,Arlette,
496,Arlin,Arlette,
497,Lurleen,Arlette,
498,Jakie,Arlette,
499,Deva,Ann,
500,Gertie,Ann,
501,Nil,Ann,
502,Fernanda,Ann,
503,Marchall,Ann,
504,Melissa,Ann,
505,Benji,Ann,
506,Banky,Ann,
507,Darrin,Arlin,
508,Leonora,Arlin,
509,Rickie,Arlin,
510,Bob,Arlin,
511,Desi,Arlin,
512,Carilyn,Arlin,
513,Ingrid,Arlin,
514,Cherye,Arlyn,
515,Sonia,Arlyn,
516,Agna,Arlyn,
517,Jeannette,Arlyn,
518,Shoshanna,Arlyn,
519,Hillyer,Arlyn,
520,Alex,Arlyn,
521,Winslow,Arlyn,
522,Serena,Arlyn,
523,Jemimah,Arlyn,
524,Tobin,Armand,
525,Hersh,Armand,
526,Chrysa,Armand,
527,Jillie,Armand,
528,Daisey,Armand,
529,Tessie,Armand,
530,Kim,Armand,
531,Salem,Armand,
532,Darleen,Armand,
533,Brianne,Armand,
534,Alric,Armando,
535,Ganny,Armando,
536,Minerva,Armando,
537,Dario,Armando,
538,Gill,Armando,
539,Boony,Armando,
540,Sayer,Armando,
541,Glynnis,Armando,
542,Durand,Armando,
543,Henrie,Armando,
544,Samson,Arne,
545,Veda,Arne,
546,Mignonne,Arne,
547,Dasha,Arne,
548,Jordanna,Arne,
549,Saleem,Arne,
550,Sharai,Arne,
551,Devlin,Arne,
552,Harlen,Arne,
553,Prentice,Arne,
554,Eleanora,Arnoldo,
555,Brynne,Arnoldo,
556,Sarge,Arnoldo,
557,Sherrie,Arnoldo,
558,Herman,Arnoldo,
559,Hilly,Arnoldo,
560,Addi,Arnoldo,
561,Vasilis,Arnoldo,
562,Melesa,Arnoldo,
563,Mikaela,Arnoldo,
564,Paten,Art,
565,Shelagh,Art,
566,Fancie,Art,
567,Delmor,Art,
568,Ansel,Art,
569,Viole,Art,
570,Prudi,Art,
571,Saxe,Art,
572,Giffie,Art,
573,Avrit,Art,
574,Melosa,Ashil,
575,Reinaldos,Ashil,
576,Rakel,Ashil,
577,Jonis,Ashil,
578,Evania,Ashil,
579,Natty,Ashil,
580,Aluino,Ashil,
581,Major,Ashil,
582,Ivonne,Ashil,
583,York,Ashil,
584,Edouard,Ashley,
585,Dulcie,Ashley,
586,Zeb,Ashley,
587,Terrill,Ashley,
588,Mikel,Ashley,
589,Starla,Ashley,
590,Bryanty,Ashley,
591,Scott,Ashley,
592,Zara,Ashley,
593,Sayres,Ashley,
594,Vivienne,Ashley,
595,Madelaine,Ashley,
596,Bentlee,Ashley,
597,Jermaine,Ashley,
598,Dulcine,Ashley,
599,Shantee,Ashley,
600,Eamon,Ashley,
601,Leupold,Ashley,
602,Pattie,Ashley,
603,Skippie,Ashley,
604,Aeriel,Ashley,
605,Hanson,Ashlin,
606,Sande,Ashlin,
607,Huntley,Ashlin,
608,Miles,Ashlin,
609,Fanya,Ashlin,
610,Joela,Ashlin,
611,Gabbey,Ashlin,
612,Astra,Ashlin,
613,Rube,Ashlin,
614,Jorey,Ashlin,
615,Talbert,Ashlin,
616,Erin,Ashlin,
617,Elva,Ashlin,
618,Nappie,Ashlin,
619,Trixy,Ashlin,
620,Katina,Ashlin,
621,Yetta,Ashlin,
622,Ailis,Ashlin,
623,Serge,Ashlin,
624,Gage,Ashlin,
625,Amabelle,Ashlin,
626,Naoma,Astra,
627,Ignatius,Astra,
628,Roscoe,Astra,
629,Liv,Astra,
630,Feodor,Astra,
631,Nathaniel,Astra,
632,Killy,Astra,
633,Grata,Astra,
634,Gertrudis,Astra,
635,Evvy,Astra,
636,Madeleine,Astrix,
637,Esma,Astrix,
638,Sher,Astrix,
639,Jenny,Astrix,
640,Mary,Astrix,
641,Kalie,Astrix,
642,Flora,Astrix,
643,Matelda,Astrix,
644,Kris,Astrix,
645,Barbe,Astrix,
646,Daryn,Audrey,
647,Jasen,Audrey,
648,Audrey,Audrey,
649,Julietta,Audrey,
650,Boris,Audrey,
651,Gratiana,Audrey,
652,Libbie,Audrey,
653,Nola,Audrey,
654,Virgil,Audrey,
655,Roch,Audrey,
656,Sheree,Augie,
657,Bordie,Augie,
658,Karrie,Augie,
659,Gwenora,Ann,
660,Jaime,Ann,
661,Michaelina,Ann,
662,Kary,Ann,
663,Linn,Ann,
664,Drew,Ann,
665,Bernadine,Ann,
666,Madalyn,Augie,
667,Terese,Augie,
668,Dolorita,Augie,
669,Alister,Augie,
670,Stormie,Augie,
671,Gillie,Augie,
672,Damien,Augie,
673,Griz,Augie,
674,Ramonda,Augie,
675,Jo-anne,Augie,
676,Liuka,Augie,
677,Merna,Avrit,
678,Archibald,Avrit,
679,Townie,Avrit,
680,Gerrie,Avrit,
681,Kristel,Avrit,
682,Terrill,Avrit,
683,Vivian,Avrit,
684,Ulrike,Avrit,
685,Carolina,Avrit,
686,Silvana,Avrit,
687,Bat,Axel,
688,Gale,Axel,
689,Calypso,Axel,
690,Sylvia,Axel,
691,Heath,Axel,
692,Ashley,Axel,
693,Natala,Axel,
694,Ida,Axel,
695,Robina,Ann,
696,Rufe,Ann,
697,Wakefield,Ann,
698,Carena,Ann,
699,Effie,Ann,
700,Angus,Ann,
701,Toiboid,Ann,
702,Karine,Ann,
703,Janette,Ann,
704,Brear,Ann,
705,Keenan,Ann,
706,Kessiah,Ann,
707,Rockey,Babbette,
708,Maury,Babbette,
709,Cybil,Babbette,
710,Manon,Babbette,
711,Thomasin,Babbette,
712,Caye,Babbette,
713,Vassily,Babbette,
714,Scotty,Babbette,
715,Cissy,Babbette,
716,Noel,Babbette,
717,Nicolle,Babbette,
718,Elna,Babbie,
719,Gipsy,Babbie,
720,Ginger,Babbie,
721,Adi,Babbie,
722,Zilvia,Babbie,
723,Shaughn,Babbie,
724,Harry,Babbie,
725,Moyna,Babbie,
726,Willie,Babbie,
727,Marion,Babbie,
728,Gwyneth,Ban,
729,Stevana,Ban,
730,Wolfy,Ban,
731,Miran,Ban,
732,Christye,Bob,
733,Erma,Bob,
734,Lawrence,Bob,
735,Oran,Bob,
736,Astrix,Bob,
737,Doll,Bob,
738,Nikos,Bob,
739,Augie,Bob,
740,Joshia,Bob,
741,Cleon,Bob,
742,Hanni,Banky,
743,Milzie,Banky,
744,Leonanie,Banky,
745,Wally,Banky,
746,Chrissy,Banky,
747,Marleen,Banky,
748,Clarke,Banky,
749,Farley,Banky,
750,Grange,Banky,
751,Cleavland,Banky,
752,Blondell,Banky,
753,Nataniel,Banky,
754,Melany,Banky,
755,Newton,Bar,
756,Armand,Bar,
757,Banky,Bob,
758,Washington,Bob,
759,Alyse,Bob,
760,Charles,Bob,
761,Nevin,Bob,
762,Tybi,Bob,
763,Darleen,Bar,
764,Taite,Bar,
765,Esta,Barack,
766,Whitaker,Barack,
767,Lurline,Barack,
768,Bill,Barack,
769,Miguelita,Barack,
770,Dimitry,Barack,
771,Elsey,Barack,
772,Dorthy,Barack,
773,Joey,Barack,
774,Cecelia,Barack,
775,Cybill,Barbabas,
776,Yevette,Barbabas,
777,Adelaida,Barbabas,
778,Graham,Barbabas,
779,Kamila,Barbabas,
780,Holden,Barbabas,
781,Crysta,Barbabas,
782,Carolan,Barbabas,
783,Guendolen,Barbabas,
784,Clayborne,Barbabas,
785,Lindi,Barbabas,
786,Steward,Bob,
787,Dugald,Bob,
788,Yvon,Bob,
789,Valencia,Bob,
790,Vanna,Bob,
791,Amalea,Bob,
792,Stacee,Bob,
793,Rose,Bob,
794,Morganica,Bob,
795,Daisi,Barbe,
796,Moe,Barbe,
797,Martelle,Barbe,
798,Valentino,Barbe,
799,Ciel,Barbe,
800,Horton,Barbe,
801,Graham,Barbe,
802,Cherye,Barbe,
803,Holly,Barbe,
804,Caro,Barbe,
805,Lenore,Barbee,
806,Cissiee,Barbee,
807,Gannon,Barbee,
808,Shannah,Barbee,
809,Larry,Barbee,
810,Robb,Barbee,
811,Holden,Barbee,
812,Charil,Barbee,
813,Yorke,Barbee,
814,Ward,Barbee,
815,Hermie,Barn,
816,Marget,Barn,
817,Trista,Barn,
818,Damon,Barn,
819,Tanitansy,Barn,
820,Bax,Barn,
821,King,Barn,
822,Netta,Barn,
823,Aylmer,Barn,
824,Raychel,Barn,
825,Boy,Barney,
826,Chase,Barney,
827,Opaline,Barney,
828,Brett,Barney,
829,Elayne,Barney,
830,Jemima,Barney,
831,Brenna,Barney,
832,Marjory,Barney,
833,Catharine,Barney,
834,Stafford,Barney,
835,Scarlett,Barney,
836,Scottie,Barney,
837,Katerina,Barney,
838,Pearle,Barney,
839,Jorie,Barney,
840,Tamarah,Barney,
841,Dana,Barney,
842,Earlie,Barney,
843,Merle,Barney,
844,Sharla,Barney,
845,Mathe,Barney,
846,Gertrude,Barney,
847,Giacobo,Barney,
848,Robinetta,Barney,
849,Jacinta,Barney,
850,Arne,Barney,
851,Barney,Barney,
852,Israel,Barney,
853,Serena,Barney,
854,Winny,Barney,
855,Gelya,Barney,
856,Lodovico,Bartolomeo,
857,Devonna,Bartolomeo,
858,Jourdain,Bartolomeo,
859,Pauly,Bartolomeo,
860,Pearl,Bartolomeo,
861,Lazarus,Bartolomeo,
862,Jehu,Bartolomeo,
863,Evin,Bartolomeo,
864,Jo ann,Bartolomeo,
865,Nat,Bartolomeo,
866,Blair,Barton,
867,Cate,Barton,
868,Clemmie,Barton,
869,Englebert,Barton,
870,Saunder,Barton,
871,Justino,Barton,
872,Brander,Barton,
873,Enrico,Barton,
874,Antonietta,Barton,
875,Vite,Barton,
876,Arlette,Bat,
877,Evania,Bat,
878,Wyn,Bat,
879,Gay,Bat,
880,Deloris,Bat,
881,Rozella,Bat,
882,Cherilynn,Bob,
883,Raquela,Bob,
884,Caddric,Bob,
885,Maryanna,Bob,
886,Briney,Bob,
887,Zeke,Bob,
888,Celine,Bathsheba,
889,Duky,Bathsheba,
890,Jehu,Bathsheba,
891,Laina,Bathsheba,
892,Reece,Bathsheba,
893,Godfree,Bathsheba,
894,Gilberta,Bathsheba,
895,Letizia,Bathsheba,
896,Wald,Baudoin,
897,Dela,Baudoin,
898,Art,Baudoin,
899,Ashlin,Baudoin,
900,Berti,Baudoin,
901,Latia,Baudoin,
902,Shae,Baudoin,
903,Kennie,Baudoin,
904,Kerianne,Baudoin,
905,Paige,Baudoin,
906,Janeczka,Bax,
907,Keenan,Bax,
908,Dwayne,Bax,
909,Inez,Bax,
910,Worden,Bob,
911,Jeanie,Bob,
912,Charo,Bob,
913,Marcel,Bob,
914,Brynna,Bob,
915,Gabbie,Bob,
916,Nels,Bob,
917,Trula,Bob,
918,Mendy,Bob,
919,Carley,Bay,
920,Daron,Bay,
921,Town,Bay,
922,Dalenna,Bay,
923,Javier,Bay,
924,Huberto,Bay,
925,Jada,Bay,
926,Baudoin,Bay,
927,Bernadine,Bay,
928,Valeda,Beckie,
929,Robinette,Beckie,
930,Brett,Beckie,
931,Benyamin,Beckie,
932,Farah,Beckie,
933,Risa,Beckie,
934,Whitby,Beckie,
935,Mahalia,Barney,
936,Barbee,Beckie,
937,Linette,Beckie,
938,Templeton,Ben,
939,Sauncho,Ben,
940,Chelsey,Ben,
941,Sherrie,Ben,
942,Milka,Ben,
943,Hall,Ben,
944,Heather,Ben,
945,Zechariah,Ben,
946,Ashlin,Ben,
947,Rockey,Ben,
948,Katuscha,Ben,
949,Rozamond,Ben,
950,Ewen,Ben,
951,Shelby,Ben,
952,Gerek,Ben,
953,Cicely,Ben,
954,Humfrey,Ben,
955,Merry,Ben,
956,Alika,Ben,
957,Yuri,Ben,
958,Paolina,Ben,
959,Burgess,Barney,
960,Farica,Barney,
961,Kyla,Barney,
962,Abbot,Barney,
963,Elva,Barney,
964,Marjy,Barney,
965,Niel,Barney,
966,Lorelei,Barney,
967,Brendis,Barney,
968,Jesselyn,Barney,
969,Scotti,Benji,
970,Phillipe,Benji,
971,Luciana,Benji,
972,Samuel,Benji,
973,Kai,Benji,
974,Nani,Benji,
975,Giana,Benji,
976,Matelda,Benji,
977,Sallyann,Benji,
978,Tally,Benji,
979,Cindi,Benn,
980,Kirby,Benn,
981,Hayward,Benn,
982,Sula,Benn,
983,Ban,Barney,
984,Annadiane,Barney,
985,Cherise,Barney,
986,Killy,Barney,
987,Johnathon,Barney,
988,Jefferson,Barney,
989,Rhodie,Benoite,
990,Blaire,Benoite,
991,Rowland,Benoite,
992,Carri,Benoite,
993,Winonah,Benoite,
994,Evanne,Benoite,
995,Gwen,Benoite,
996,Zulema,Benoite,
997,Rochelle,Benoite,
998,Clair,Benoite,
999,Georgeta,Bentlee,
1000,Etta,Bentlee,
1001,Cart,Bentlee,
1002,Marieann,Bentlee,
1003,Christal,Bentlee,
1004,Kellie,Bentlee,
1005,Claudia,Bentlee,
1006,Ronny,Bentlee,
1007,Barney,Bentlee,
1008,Oberon,Bentlee,
1009,Roscoe,Barney,
1010,Antoni,Barney,
1011,Briney,Barney,
1012,Max,Barney,
1013,Felipe,Barney,
1014,Sig,Barney,
1015,Maisey,Barney,
1016,Dasha,Barney,
1017,Jania,Barney,
1018,Gladys,Barney,
1019,Lanie,Bernadine,
1020,Brynn,Bernadine,
1021,Herminia,Bernadine,
1022,Amalea,Bernadine,
1023,Margalit,Bernadine,
1024,Augie,Bernadine,
1025,Dannie,Bernadine,
1026,Beverley,Bernadine,
1027,Melisa,Bernadine,
1028,Brigida,Bernadine,
1029,Ben,Bernadine,
1030,Cherlyn,Bernadine,
1031,Tabatha,Bernadine,
1032,Darice,Bernadine,
1033,Pierette,Bernadine,
1034,Ashley,Bernadine,
1035,Erinn,Bernadine,
1036,Gustavo,Bernadine,
1037,Ainsley,Bernadine,
1038,Powell,Bernadine,
1039,Akim,Bernhard,
1040,Bernhard,Bernhard,
1041,Flori,Bernhard,
1042,Donovan,Bernhard,
1043,Boycey,Bernhard,
1044,Babbette,Bernhard,
1045,Valencia,Bernhard,
1046,Bay,Bernhard,
1047,Maryellen,Bernhard,
1048,Jimmy,Bernhard,
1049,Erik,Bernhard,
1050,Vernon,Bert,
1051,Adorne,Bert,
1052,Hyacinth,Bert,
1053,Dominica,Bert,
1054,Patrica,Bert,
1055,Dehlia,Bert,
1056,Karina,Bert,
1057,Katlin,Bert,
1058,Parnell,Bert,
1059,Genni,Bert,
1060,Fannie,Berta,
1061,Aida,Berta,
1062,Frasco,Berta,
1063,Lilah,Berta,
1064,Clarinda,Berta,
1065,Erin,Berta,
1066,Jdavie,Berta,
1067,Dolley,Berta,
1068,Gerald,Berta,
1069,Chickie,Berta,
1070,Charmane,Berti,
1071,Sharline,Berti,
1072,Blondy,Berti,
1073,Charisse,Berti,
1074,Julietta,Berti,
1075,Carey,Berti,
1076,Gerick,Berti,
1077,Michel,Berti,
1078,Gradeigh,Berti,
1079,Alonzo,Berti,
1080,Fredrika,Berty,
1081,Annora,Berty,
1082,Sterne,Berty,
1083,Marietta,Berty,
1084,Vere,Berty,
1085,Lari,Berty,
1086,Jarret,Berty,
1087,Barbabas,Berty,
1088,Nissie,Berty,
1089,Giuseppe,Berty,
1090,Bud,Beverley,
1091,Mallorie,Beverley,
1092,Marge,Beverley,
1093,Viviyan,Beverley,
1094,Lilia,Beverley,
1095,Jozef,Beverley,
1096,Edna,Beverley,
1097,Durand,Beverley,
1098,Che,Beverley,
1099,Romona,Beverley,
1100,Kira,Beverley,
1101,Caddric,Bif,
1102,Olag,Bif,
1103,Bil,Bif,
1104,William,Bif,
1105,Berta,Bif,
1106,Dorian,Bif,
