nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0343660,tt0120631,tt0160127,tt0151738
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0337921,tt0119488,tt0108525,tt0096895
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt2872732,tt0110413,tt0119116,tt0100263
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0337851,tt0131857,tt0115285,tt0119271
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0097499,tt0107616,tt0116477,tt3402236
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0086567,tt0091042,tt0115798,tt0395251
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0120347,tt0143145,tt0155267,tt0795421
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt1041829,tt0111257,tt0212346,tt1454468
nm0000114	Steve Buscemi	1957	\N	actor,director,producer	tt0116282,tt4686844,tt0162346,tt0105236
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0119094,tt0435705,tt0113627,tt0117500
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0103064,tt0120338,tt0090605,tt0499549
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0134084,tt0120890,tt0120082,tt0117571
nm0000118	John Carpenter	1948	\N	soundtrack,writer,music_department	tt0082340,tt0096256,tt0077651,tt0080749
nm0000119	Tia Carrere	1967	\N	actress,soundtrack,producer	tt0105793,tt0275847,tt0111503,tt0207919
nm0000120	Jim Carrey	1962	\N	actor,writer,producer	tt0315327,tt0109040,tt0338013,tt0110475
nm0000121	Phoebe Cates	1963	\N	actress,soundtrack	tt0101775,tt0083929,tt0086143,tt0087363
nm0000122	Charles Chaplin	1889	1977	writer,soundtrack,actor	tt0044837,tt0027977,tt0032553,tt0018773
nm0000123	George Clooney	1961	\N	actor,producer,director	tt1124035,tt0465538,tt1193138,tt0433383
nm0000124	Jennifer Connelly	1970	\N	actress	tt0180093,tt0315983,tt0102803,tt0268978
nm0000125	Sean Connery	1930	2020	actor,producer,soundtrack	tt0059800,tt0055928,tt0117500,tt0094226
nm0000126	Kevin Costner	1955	\N	actor,producer,soundtrack	tt0099348,tt0103855,tt0102798,tt0119925
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0117571,tt0111686,tt0105121,tt0087800
nm0000128	Russell Crowe	1964	\N	actor,soundtrack,producer	tt0172495,tt1707386,tt0268978,tt0119488
nm0000129	Tom Cruise	1962	\N	actor,producer,soundtrack	tt0092099,tt0120755,tt0325710,tt0181689
nm0000130	Jamie Lee Curtis	1958	\N	actress,producer,director	tt1502407,tt0322330,tt0120694,tt0111503
nm0000131	John Cusack	1966	\N	actor,producer,writer	tt0450385,tt0098258,tt0146882,tt0119229
nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0117509,tt0108872,tt0274558,tt1796960
nm0000133	Geena Davis	1956	\N	actress,producer,soundtrack	tt0104694,tt0091064,tt0103074,tt0116908
nm0000134	Robert De Niro	1943	\N	actor,producer,soundtrack	tt0077416,tt0101540,tt0081398,tt0075314
nm0000135	John Denver	1943	1997	soundtrack,music_department,actor	tt0076489,tt0120591,tt0299328,tt4649466
nm0000136	Johnny Depp	1963	\N	actor,producer,soundtrack	tt0449088,tt0408236,tt0325980,tt0367594
nm0000137	Bo Derek	1956	\N	actress,producer,miscellaneous	tt0086987,tt0114694,tt0083170,tt0099656
nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt1375666,tt0993846,tt0407887,tt0120338
nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0160127,tt0129387,tt0119738,tt0259711
nm0000140	Michael Douglas	1944	\N	actor,producer,soundtrack	tt0103772,tt0094291,tt0093010,tt1291580
nm0000141	David Duchovny	1960	\N	actor,producer,director	tt0904208,tt0120902,tt0106179,tt0443701
nm0000142	Clint Eastwood	1930	\N	actor,producer,director	tt0405159,tt0112579,tt1205489,tt0105695
nm0000143	Erika Eleniak	1969	\N	actress	tt0094761,tt0083866,tt0105690,tt0106400
nm0000144	Cary Elwes	1962	\N	actor,producer,director	tt0119468,tt0107977,tt0387564,tt0093779
nm0000145	Sherilyn Fenn	1965	\N	actress,soundtrack	tt0105046,tt0100935,tt0092240,tt0098936
nm0000146	Ralph Fiennes	1962	\N	actor,director,producer	tt1201607,tt0108052,tt2278388,tt0387131
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt2802144,tt0243155,tt1504320,tt1315981
nm0000148	Harrison Ford	1942	\N	actor,writer,producer	tt0076759,tt0082971,tt0106977,tt0118571
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0075314,tt0102926,tt0118884,tt0476964
nm0000150	Michael J. Fox	1961	\N	actor,producer,miscellaneous	tt0115369,tt0116365,tt0096874,tt0088763
nm0000151	Morgan Freeman	1937	\N	actor,producer,soundtrack	tt1057500,tt0405159,tt0097239,tt0114369
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0084434,tt0299658,tt0100405,tt0358135
nm0000153	Gina Gershon	1962	\N	actress,soundtrack,producer	tt1726669,tt0115736,tt0119094,tt0114436
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0118883,tt0112573,tt0117438,tt0104714
nm0000155	Whoopi Goldberg	1955	\N	actress,producer,writer	tt0088939,tt0108147,tt0099653,tt0105417
nm0000156	Jeff Goldblum	1952	\N	actor,soundtrack,producer	tt0091064,tt0107290,tt0116629,tt2278388
nm0000157	Linda Hamilton	1956	\N	actress	tt0088247,tt0103064,tt0118928,tt6450804
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0162222,tt0094737,tt0112384,tt0109830
nm0000159	Teri Hatcher	1964	\N	actress,soundtrack,writer	tt0106057,tt0120347,tt0410975,tt0227538
nm0000160	Ethan Hawke	1970	\N	actor,writer,producer	tt0139654,tt0112471,tt0381681,tt2209418
nm0000161	Salma Hayek	1966	\N	actress,producer,soundtrack	tt0120655,tt0120679,tt0119141,tt0112851
nm0000162	Anne Heche	1969	\N	actress,writer,producer	tt0119008,tt0120461,tt0120828,tt0120885
nm0000163	Dustin Hoffman	1937	\N	actor,producer,soundtrack	tt0061722,tt0064665,tt0084805,tt0095953
nm0000164	Anthony Hopkins	1937	\N	actor,soundtrack,composer	tt0412080,tt0212985,tt0975645,tt0102926
nm0000165	Ron Howard	1954	\N	actor,producer,director	tt0367279,tt0268978,tt0112384,tt0870111
nm0000166	Helen Hunt	1963	\N	actress,producer,director	tt0162222,tt0103484,tt0119822,tt0117998
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0105104,tt0145660,tt0118655,tt0230030
nm0000168	Samuel L. Jackson	1948	\N	actor,producer,soundtrack	tt3460252,tt0110912,tt4154664,tt2802144
nm0000169	Tommy Lee Jones	1946	\N	actor,director,soundtrack	tt2398231,tt0443272,tt0106977,tt0477348
nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,producer	tt1220198,tt0119116,tt1220634,tt0120804
nm0000171	Ashley Judd	1968	\N	actress,producer,director	tt0352277,tt0150377,tt0113277,tt0470705
nm0000172	Harvey Keitel	1939	\N	actor,producer,soundtrack	tt2278388,tt0110912,tt0105236,tt0103759
nm0000173	Nicole Kidman	1967	\N	actress,producer,soundtrack	tt0159365,tt0935075,tt0274558,tt0203009
nm0000174	Val Kilmer	1959	\N	actor,producer,soundtrack	tt0235737,tt0120053,tt0101761,tt0373469
nm0000175	Stephen King	1947	\N	writer,producer,actor	tt0083767,tt0091499,tt0111161,tt0324864
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0083722,tt0111400,tt0087884,tt0080009
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0106673,tt0120891,tt0113117,tt0095159
nm0000178	Diane Lane	1965	\N	actress,soundtrack	tt2096673,tt0250797,tt0086066,tt0328589
nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt0346156,tt0376541,tt2278388,tt0134119
nm0000180	David Lean	1908	1991	editor,director,writer	tt0087892,tt0059113,tt0050212,tt0056172
nm0000181	Heather Locklear	1961	\N	actress,producer,soundtrack	tt0380623,tt0098193,tt0103491,tt0119695
nm0000182	Jennifer Lopez	1969	\N	actress,producer,soundtrack	tt0299930,tt0120094,tt3181822,tt0209958
nm0000183	Traci Lords	1968	\N	actress,soundtrack,producer	tt1007028,tt1984153,tt0120611,tt0099329
nm0000184	George Lucas	1944	\N	writer,producer,director	tt0066434,tt0069704,tt0076759,tt0082971
nm0000185	Dolph Lundgren	1957	\N	actor,producer,director	tt0093507,tt0089927,tt0105698,tt0113481
nm0000186	David Lynch	1946	\N	writer,director,producer	tt0166924,tt0105665,tt0460829,tt0098936
nm0000187	Madonna	1958	\N	soundtrack,actress,composer	tt0099422,tt0246460,tt0104694,tt0116250
nm0000188	Steve Martin	1945	\N	writer,actor,soundtrack	tt0131325,tt0079367,tt0093886,tt0102250
nm0000189	Jenny McCarthy	1972	\N	actress,producer,writer	tt0455967,tt0131857,tt0327643,tt0134084
nm0000190	Matthew McConaughey	1969	\N	actor,producer,soundtrack	tt1915581,tt1935179,tt1726669,tt0790636
nm0000191	Ewan McGregor	1971	\N	actor,writer,producer	tt0203009,tt1322269,tt0117951,tt2763304
nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0158552,tt0116287,tt0088944,tt0086827
nm0000193	Demi Moore	1962	\N	actress,producer,director	tt0119173,tt0099653,tt0117765,tt0305357
nm0000194	Julianne Moore	1960	\N	actress,producer,soundtrack	tt3316960,tt0175880,tt0297884,tt0842926
nm0000195	Bill Murray	1950	\N	actor,soundtrack,writer	tt0335266,tt0362270,tt0128445,tt1748122
nm0000196	Mike Myers	1963	\N	actor,writer,soundtrack	tt0811138,tt0118655,tt0295178,tt0145660
nm0000197	Jack Nicholson	1937	\N	actor,soundtrack,producer	tt0119822,tt0073486,tt0071315,tt0407887
nm0000198	Gary Oldman	1958	\N	actor,soundtrack,producer	tt1340800,tt0103874,tt4555426,tt0468569
nm0000199	Al Pacino	1940	\N	actor,producer,soundtrack	tt0099422,tt0072890,tt0068646,tt0070666
